entry_date,entry_price,exit_date,exit_price,reason,code,name,marcap,entry_vol,marcap_tier,vol_tier
2026-05-27,161100.0,2026-05-27,177200.0,holding_limit,226950,올릭스,3597263307600.0,0.04275405081809996,대형,고변동
2026-05-27,76100.0,2026-05-27,71300.0,holding_limit,082740,한화엔진,5949781224600.0,0.03474764670157883,대형,중변동
2026-04-12,45500.0,2026-04-22,48000.0,holding_limit,403870,HPSP,4542960000000.0,0.046377021987230656,대형,고변동
2026-05-25,53500.0,2026-05-27,55200.0,holding_limit,403870,HPSP,4542960000000.0,0.04863274694434103,대형,고변동
2026-04-16,91000.0,2026-04-26,95300.0,holding_limit,439260,대한조선,2551944910000.0,0.032919781827498586,대형,중변동
2026-04-15,98600.0,2026-04-16,116400.0,take_profit,011790,SKC,5456821741800.0,0.03187855145253629,대형,중변동
2026-05-23,178800.0,2026-05-27,201500.0,holding_limit,000990,DB하이텍,8766174482000.0,0.06565393979008688,대형,고변동
2026-04-18,17130.0,2026-04-28,17320.0,holding_limit,035250,강원랜드,3264732030000.0,0.017367849238296148,대형,저변동
2026-04-19,49450.0,2026-04-29,48100.0,holding_limit,031210,서울보증보험,3068659232100.0,0.019486687019975614,대형,저변동
2026-04-17,91700.0,2026-04-27,91900.0,holding_limit,140410,메지온,2163922290400.0,0.041848618991454756,대형,고변동
2026-04-12,249000.0,2026-04-22,250000.0,holding_limit,051900,LG생활건강,3830461131000.0,0.020249748372490835,대형,저변동
2026-04-26,55600.0,2026-05-06,54700.0,holding_limit,263750,펄어비스,2846179976500.0,0.0251400554891895,대형,중변동
2026-04-17,276000.0,2026-04-27,348000.0,holding_limit,108490,로보티즈,4433750970000.0,0.045995073459947536,대형,고변동
2026-04-14,77700.0,2026-04-24,81800.0,holding_limit,347850,디앤디파마텍,4327849723600.0,0.044565674784183516,대형,고변동
2026-05-27,72200.0,2026-05-27,97857.14285714286,take_profit,347850,디앤디파마텍,4327849723600.0,0.049474911533259995,대형,고변동
2026-04-12,53600.0,2026-04-22,57300.0,holding_limit,214150,클래시스,3154144112650.0,0.030488993124638132,대형,중변동
2026-04-30,120000.0,2026-05-10,120000.0,holding_limit,012510,더존비즈온,3780506959300.0,0.0030243467168622217,대형,저변동
2026-05-19,120600.0,2026-05-27,120100.0,holding_limit,012510,더존비즈온,3780506959300.0,0.0026438817895765502,대형,저변동
2026-04-29,31250.0,2026-05-08,39064.28571428572,take_profit,319400,현대무벡스,4109775839100.0,0.019636441219328303,대형,저변동
2026-04-12,270500.0,2026-04-22,288000.0,holding_limit,014680,한솔케미칼,3121118527500.0,0.03932326185308054,대형,고변동
2026-05-14,330000.0,2026-05-18,296714.28571428574,stop_loss,014680,한솔케미칼,3121118527500.0,0.03596801746450459,대형,고변동
2026-05-18,323000.0,2026-05-27,299000.0,holding_limit,214450,파마리서치,3106504752000.0,0.04165474160928289,대형,고변동
2026-04-16,44350.0,2026-04-26,44300.0,holding_limit,302440,SK바이오사이언스,3161799085900.0,0.021565936350461955,대형,중변동
2026-05-27,41450.0,2026-05-27,40300.0,holding_limit,302440,SK바이오사이언스,3161799085900.0,0.021302249047108975,대형,중변동
2026-04-30,98100.0,2026-05-10,97900.0,holding_limit,017800,현대엘리베이터,3170392423500.0,0.01932315684211863,대형,저변동
2026-04-30,102000.0,2026-05-06,98142.85714285714,stop_loss,103140,풍산,2342829640800.0,0.008342617125499033,대형,저변동
2026-05-08,142700.0,2026-05-13,122971.42857142858,stop_loss,084370,유진테크,3018042731400.0,0.029925038044513075,대형,중변동
2026-05-26,146500.0,2026-05-27,131700.0,holding_limit,084370,유진테크,3018042731400.0,0.06406278085998375,대형,고변동
2026-04-17,146200.0,2026-04-27,167500.0,holding_limit,237690,에스티팜,2913992101900.0,0.028799943210597756,대형,중변동
2026-04-13,248000.0,2026-04-23,260000.0,holding_limit,145020,휴젤,3137528415000.0,0.027587872713461813,대형,중변동
2026-05-09,268500.0,2026-05-19,265500.0,holding_limit,145020,휴젤,3137528415000.0,0.034362661029509474,대형,중변동
2026-04-12,209000.0,2026-04-22,205000.0,holding_limit,001720,신영증권,2954268000000.0,0.045474376873742325,대형,고변동
2026-05-07,211500.0,2026-05-12,196757.14285714287,stop_loss,001720,신영증권,2954268000000.0,0.01653769040669528,대형,저변동
2026-04-30,149600.0,2026-05-07,138414.2857142857,stop_loss,011780,금호석유화학,3519509767500.0,0.02674676453373416,대형,중변동
2026-04-16,71300.0,2026-04-20,90685.71428571429,take_profit,036930,주성엔지니어링,10644176709000.0,0.053606171595170275,대형,고변동
2026-04-16,60900.0,2026-04-26,60800.0,holding_limit,005850,에스엘,3344293440000.0,0.0365178686569152,대형,고변동
2026-05-24,68600.0,2026-05-27,72000.0,holding_limit,005850,에스엘,3344293440000.0,0.059973096483172866,대형,고변동
2026-04-24,221500.0,2026-05-04,211500.0,holding_limit,009970,영원무역홀딩스,2653949994200.0,0.022929845607153308,대형,중변동
2026-05-01,243500.0,2026-05-06,233214.2857142857,stop_loss,097950,CJ제일제당,3093635223000.0,0.014377121788352362,대형,저변동
2026-04-18,100100.0,2026-04-28,97400.0,holding_limit,083650,비에이치아이,2416755687500.0,0.034184097198955946,대형,중변동
2026-05-08,98500.0,2026-05-11,90300.0,stop_loss,083650,비에이치아이,2416755687500.0,0.014935209019278669,대형,저변동
2026-04-16,116800.0,2026-04-26,118900.0,holding_limit,058610,에스피지,2703420184000.0,0.03684902353594241,대형,고변동
2026-05-26,131000.0,2026-05-27,121900.0,holding_limit,058610,에스피지,2703420184000.0,0.07049728539674686,대형,고변동
2026-05-12,316500.0,2026-05-18,279285.71428571426,stop_loss,064760,티씨케이,3208492392000.0,0.026691594740965267,대형,중변동
2026-04-21,50600.0,2026-04-30,47185.71428571428,stop_loss,009420,한올바이오파마,3662068723800.0,0.03959324794572646,대형,고변동
2026-05-23,53800.0,2026-05-27,71514.28571428571,take_profit,009420,한올바이오파마,3662068723800.0,0.08303201974410038,대형,고변동
2026-04-13,19570.0,2026-04-23,20500.0,holding_limit,00680K,미래에셋증권2우B,2306850000000.0,0.0429601880493942,대형,고변동
2026-05-07,23800.0,2026-05-12,21428.571428571428,stop_loss,00680K,미래에셋증권2우B,2306850000000.0,0.040672841928836585,대형,고변동
2026-04-18,23300.0,2026-04-28,22250.0,holding_limit,032820,우리기술,2692485368340.0,0.06324942965428931,대형,고변동
2026-04-16,262500.0,2026-04-24,343757.14285714284,take_profit,010060,OCI홀딩스,7290725596000.0,0.0710274347581297,대형,고변동
2026-05-27,351000.0,2026-05-27,390500.0,holding_limit,010060,OCI홀딩스,7290725596000.0,0.07594547835421336,대형,고변동
2026-04-12,46450.0,2026-04-22,60400.0,holding_limit,005290,동진쎄미켐,3093886648200.0,0.04898300765798549,대형,고변동
2026-05-08,59300.0,2026-05-15,52392.857142857145,stop_loss,005290,동진쎄미켐,3093886648200.0,0.0331608438496601,대형,중변동
2026-05-23,61200.0,2026-05-27,60700.0,holding_limit,005290,동진쎄미켐,3093886648200.0,0.04186918221499673,대형,고변동
2026-04-16,58700.0,2026-04-26,58300.0,holding_limit,068760,셀트리온제약,2173494151400.0,0.022553743137858753,대형,중변동
2026-05-07,5670.0,2026-05-17,6030.0,holding_limit,028670,팬오션,3014972047680.0,0.011073332643239817,대형,저변동
2026-04-19,30400.0,2026-04-29,31450.0,holding_limit,001450,현대해상,3060412175000.0,0.020297405763950952,대형,저변동
2026-05-15,32800.0,2026-05-18,37985.71428571428,take_profit,001450,현대해상,3060412175000.0,0.0233216465522387,대형,중변동
